	Supplementary table 2_4: GO results of N-RNA (GO groups shown in Figure 2.2)						
	4.3E-02	215	1830	1.23	GO:0010647 positive regulation of cell communication	http://amigo.geneontology.org/amigo/term/GO:0010647	ATP2C1,TRIM38,ZDHHC13,LITAF,FLNA,CD44,TRAF5,TRIP6,TGFB2,TREM2,XIAP,CACNG7,MET,TRIM14,TNKS2,CAPRIN2,IL23A,SASH1,TEK,INHBA,DOK4,GPR18,BMP4,CRACR2A,PTPN22,GH2,PARP9,FGF2,PIK3R5,CACNG8,XCL1,CSNK1G3,GHRL,KIT,FGFR4,TGFA,NETO1,ADRA1D,RIMS2,GPR4,GRIN2A,ROR1,PDE6G,ALKAL1,ALS2,HIF1A,HOMER1,JUP,AKAP5,NRXN1,LTF,CYBA,IFI35,FERMT2,FGFR1,SIRT1,EP300,GSKIP,RSPO4,SALL1,SFRP1,FGF21,SPIN1,BMPR1A,SLC9A3R1,TMEM33,VWF,CYP27B1,GLI1,IL12B,PRLR,ACVR2B,NMI,EDN3,TNFSF14,KLK14,APOE,WBP2,LGR6,OASL,TLR4,MYC,NLRC5,BRD4,ASXL2,NACC2,ANKRD1,ADRA2A,IL18,THRB,RBPMS,BRAF,HTR6,F11R,ZC3H12A,TLR3,CITED2,NKX3-1,KLK5,IGFBP6,MAP4K2,SEMA4C,SEMA3E,HPSE,NLRP6,SLC38A9,PTPN11,SOX2,RXRA,PLA2G2A,AKR1C3,RASGEF1A,LGR4,FNIP1,TNFSF12,TUNAR,ADRA2B,CD38,IL20RA,GUCA1A,MAPK9,PIK3CB,SPHK2,PRKCZ,EPHA8,DLX5,DVL1,SLC15A3,TRPV4,CTH,CHRNB4,SLC8A2,GPR68,IRF3,BECN1,AKAP12,SERINC3,KRAS,MBD2,C5AR2,FGFBP1,LHCGR,SLC15A4,GAS8,IGFBP4,TRPM2,MFHAS1,ADAM8,BANK1,ZBTB7B,SQSTM1,FZD5,NPY5R,SPINK1,TERT,SYK,CACNB2,PLEKHF1,CLEC4D,STX3,AR,RGS14,LPAR3,SYT12,PTPN2,BOK,ALOX15B,TBK1,IRS2,NPSR1,MME,MAP3K5,PLCG2,NFAM1,GJA5,CALCR,KIAA0319,FPR2,PIK3CD,CASP10,PRKCH,ROCK1,UBE2K,ICAM1,PCDH11Y,MMP9,TFR2,CBL,PTPN6,GOLPH3,RAB29,PKD2,LARS1,USP8,IQGAP1,MINK1,TNFRSF11A,TCF7L2,HHEX,DEDD2,GRIK2,KMT2D,NUPR1,HCLS1,HEXIM1,ABCA7,SCTR,GPLD1,EIF2AK4,NGF,OCIAD2,ADGRV1,P2RX2,PRKCI,BDNF
	4.4E-02	208	1835	1.23	GO:0042127 regulation of cell population proliferation	http://amigo.geneontology.org/amigo/term/GO:0042127	CD38,FGF22,TGFB2,FGF21,BST1,IL23A,FGF6,PRLR,MPL,STAT5A,PTPN22,FGF2,TNFRSF21,TBX6,TGFA,SYK,STAT6,CLCF1,NUPR1,SMIM22,ACTB,HIF1A,EMILIN2,LTF,GRN,FGFR1,P3H2,CD209,TCL1A,SFRP1,SLC9A3R1,CYP27B1,GLI1,GPLD1,IL12B,ZP4,IRF6,INHBA,EDN3,BMP4,APOE,MYC,FGFBP1,BRCA2,XCL1,VASH2,NACC2,IL18,HHEX,GHRL,FGFR4,FRZB,PF4,NKX3-1,COL4A3,AR,NUDT6,HPSE,JUP,PODN,BOK,ALOX15B,SOX2,PRKG1,NCCRP1,AKR1C3,CD55,CSF2RA,CEBPA,NANOGP8,DLX6,CYBA,PRDM1,MTA3,SPHK2,CNN2,PRKCZ,GUCY2C,TRPC5,WDR62,IL4R,TRAF5,KDM2B,TREM2,NFKBIA,FA2H,DLX5,PTPRZ1,BMPR1A,SH2B3,PTPN6,E2F3,TNN,PLAU,PTGER2,OVOL2,NR1D1,BECN1,ELL3,SOX15,PLAAT4,KRAS,MBD2,C5AR2,TLR4,KIF20B,CUL4A,SAV1,CD109,KIT,BRAF,ZBTB7B,IKZF3,S100A11,FZD5,HIPK1,NPY5R,SPINK1,TERT,CITED2,OSR2,SPINT1,LMO1,PTAFR,SHCBP1,MTBP,CEBPB,RARG,FUT1,SFN,PAWR,HCLS1,TACSTD2,IRS2,HMX2,MAFG,MAP3K5,TOPORS,TOX,TRIM71,IFI30,FNIP1,TRNP1,NR2E3,MEF2D,CNN1,PIK3CD,PRKCH,LAMC2,IFI35,FERMT2,ACER3,CEACAM6,SULT2B1,TESC,SIRT1,MMP9,HCK,PPP1R16B,EMD,STRN,PKD2,CLU,NMI,ACVR1C,SDC4,ZFP36,ASH2L,LGALS3,COX17,TPM1,ITGAX,TCF7L2,PRKCI,CLDN3,STX3,KMT2D,CXCL11,PTPN2,FES,CEACAM1,SIX3,JAML,FUT2,PLPP1,DHRS2,MATK,CAPN1,XIAP,EBI3,VIPR1,ARHGEF2,SGK1,TEK,SFTPD,NGF,ABI1,GAS8,TNFRSF11A,ADRA2A,ICOSLG,IGFBP6,CHRM1,FABP6,ADRA1D,ADGRB1,S1PR3,TNFSF12
	4.4E-02	121	949	1.33	GO:0030001 metal ion transport	http://amigo.geneontology.org/amigo/term/GO:0030001	LTF,ATP2C1,CP,PRSS8,SLC9A7,TRPC5,ATP12A,SLC8B1,TRPM7,KCNK6,NIPAL2,ATP4A,HAMP,SCN1B,TFR2,ASIC2,TRPV4,KCNC4,SLC8A2,PKD2,FLVCR2,KCNS1,KCNK17,CRACR2A,DPP6,KCNC3,RAMP2,LGALS3,TMEM165,TRPC6,SLC39A5,STAC2,TRPM2,ATP1B1,CACNA1B,KCNE4,HOMER1,SLC5A10,FLVCR1,SLMAP,SLC39A2,CACNB2,SCNN1G,KCNAB1,SLC30A1,KCNS3,KCNG3,ATP2A2,KCNE3,HEPHL1,KCND2,NPSR1,CATSPER4,AKAP5,FLNA,RYR2,VMP1,GNB5,SLC4A11,TESC,CALCA,FGF2,XCL1,CACNA2D1,KCNMA1,LRRC38,NETO1,CXCL11,CD19,GRIN2A,PLCG2,WWP2,SLC34A3,CYBA,MCOLN3,ATG5,SPHK2,TMEM38A,FTL,TREM2,CACNG7,SLC9A3R1,CYP27B1,SLC38A1,PTPN6,SLC4A9,TRPM6,VPS4B,EDN3,HSPA2,PTPN22,SLC38A2,LHCGR,METTL21C,SLC13A5,CACNG8,STOM,MCOLN2,JPH3,CACNA2D3,SLC34A2,SLC13A3,PKD1L1,SPINK1,PKD1L2,TMEM37,ZDHHC13,TCN2,GJA5,CALCR,EPPIN,DIAPH1,CLTC,LMTK2,NOS1,LCN2,ADRA2A,P2RX2,JPH1,STEAP3,SGK1
	4.4E-02	485	4552	1.13	GO:0030154 cell differentiation	http://amigo.geneontology.org/amigo/term/GO:0030154	RRBP1,MYBBP1A,RRAS2,HSD17B4,CLTC,IARS1,DLX6,ETV1,USH1C,ARHGAP44,PROM1,ETV7,ANOS1,PRDM1,LAMC2,NCKAP1,TNK2,DLX3,PSME4,FGF22,EPHA8,WDR1,ACTN1,ACTB,WDR62,TPD52,FGFR1,RPGRIP1,MYL9,HCK,PPP1R16B,PPP1R13L,TJP3,FGF21,LSR,DLX5,MET,GALNTL5,LHX6,DLX4,IL23A,FGF6,MYL2,FRK,UNC5A,ARHGEF2,MEF2D,SGK1,TJP2,TNN,SOHLH2,BHLHE41,PACSIN1,NKX2-4,OVOL2,NR1D1,SOX15,CRACR2A,MAP1S,CDX4,UNK,LGR6,PTPN22,NGF,ELF5,DYSF,KIAA0319,SEMA6D,FGF2,PARVG,ETV6,MINK1,TNFRSF11A,ASTN2,TBX6,MKX,THRB,FLI1,BEND6,HHEX,KIT,ETS2,F11R,KIAA1522,FLVCR1,TDRD5,ELF3,LMTK2,HNF4G,SYK,NDEL1,NKX3-1,FOXI1,RHOH,SEMA4C,SEMA3E,KRT8,EMB,FOXA3,KRT15,CEBPB,PDE3A,RARG,NR1D2,ETV4,YES1,FOXC2,BDNF,MAF,TDRD6,SYNE4,SOX2,FES,NEB,TACSTD2,IFNE,ROR1,RXRA,NRN1L,TMEM120B,CATSPER4,SEMA4A,MYO6,SIGLEC15,MAFG,ENPP1,TOX,MAFB,GPRIN2,FOXB2,CEBPD,NTF4,TMEFF1,CEBPA,ETV3L,MYMX,NR2E3,MTA3,HIF1A,ADGRV1,PIK3CD,NRXN1,FLNA,ALS2,LTF,GRN,VCL,FERMT2,TESC,TGFB2,TREM2,UPK3A,EP300,SFRP1,SERPINE1,CALCA,GLI1,PTPN6,IL12B,EFEMP1,SMYD1,RAB29,CR2,CLU,INHBA,ACVR1C,BMP4,ZFP36,APOE,PRICKLE1,ASXL2,TCF7L2,GHRL,CCDC78,FRZB,IFI16,PF4,ZC3H12A,WASHC2C,RIMS2,GAK,L3MBTL1,SHTN1,ALKAL1,ITSN2,SYT3,ADRA2B,CD38,CALCR,ITGA3,EHD2,PRKCH,SH2D2A,HMGB3,HEXB,MCOLN3,ATG5,SEZ6,KDM4A,PRKCZ,ROCK1,RORA,TRPC5,NMRK2,IL4R,CARMIL1,ATP8B1,FAT1,NME8,GMCL1,SLC4A11,MAPKAPK5,TYRO3,SIRT1,NFKBIA,MMP9,PABPC1L,MOSPD1,EMD,KLF5,MEDAG,FA2H,RELB,KLC3,RSPH6A,AURKC,CNFN,CACNG7,HAMP,SCN1B,PTPRZ1,WASL,DVL1,BMPR1A,RND2,SLC9A3R1,DDX25,HTATIP2,POU2AF1,CAPRIN2,TRPV4,SH2B3,CREBL2,RHAG,ZBTB24,PRPH2,PRLR,DPYSL3,ACVR2B,TFCP2L1,FHL2,LEPR,MPL,ARTN,IRF6,ZNF541,ALDH6A1,GPR68,TGFBI,PLS1,SOCS2,NLN,ATF1,SDC4,EDN3,GPR18,TNFSF14,TGM3,MMP24,BECN1,HSPA2,SPINK2,ELL3,CHAC1,E2F8,ZBTB46,C1QL1,RAMP2,PIAS3,LGALS3,ITGB4,TESMIN,LGALS12,KRAS,TSPAN2,IL15RA,DOCK2,WDR36,MYCBPAP,ABI1,TLR4,IRF4,PAQR5,PAK6,KIF20B,BRCA2,CUL4A,UNC45B,ZNF750,VAV1,DNMT3L,TRPM2,SYPL2,PTPRG,NFKBIZ,SPATA5,METTL14,TNFRSF21,KDM6A,DIAPH2,ANKRD1,IL18,NOCT,SCLT1,ADAM8,SAV1,RBM46,GRID2,HOMER1,BOLL,ZFP36L2,IGSF10,CDYL,CABYR,CERS3,UCHL1,MMP21,PPARGC1B,CD109,BRAF,M1AP,ANKLE1,ZBTB7B,ADAR,IER2,SQSTM1,IKZF3,LEMD2,ZNF281,PKDCC,FZD5,HIPK1,PRKCI,HESX1,TCF23,KLF15,SPINK1,TERT,CITED2,DACT2,OSR2,STRBP,CLDN3,SPINT1,WEE1,CLEC4D,STAT6,ANKRD33,ATCAY,FEM1B,AR,RGS14,NR0B1,CLIC4,ALCAM,GTSF1,CAVIN4,SOCS5,LPAR3,ENC1,LRRC34,HPSE,CCDC63,NOC3L,C1QA,WFIKKN2,AGFG1,TDRD12,NRROS,ATP2A2,PTPN2,CLCF1,PRM1,SFN,NUPR1,PLAAT3,MEX3C,BOK,CD19,GPR4,ZBTB7A,PTPN11,ALOX15B,ALX1,MEIOC,HCLS1,TMEM64,DHTKD1,ADGRB1,USH1G,GRIN2A,PIWIL3,INPP5J,PRKG1,POU3F1,NAP1L2,CYP26C1,P2RX2,KRTDAP,HMX3,HMX2,GJB5,XRCC2,ZNF431,MAP3K5,SIPA1L1,MYH6,PLCG2,MBP,SYCP1,LRIG2,LGR4,CEMP1,FNIP1,NFAM1,TNFSF12,STRC,CCDC169-SOHLH2,ITGA6,DHRS2,SALL1,VIL1,ANXA7,TPP1,AKR1C3,ANXA4,ICAM1,RAP2C,MME,ZFP64,MAPK9,GBA2,SULT2B1,PIEZO1,ASAH1,CYP27B1,MAD2L2,CTH,TEK,PLAAT4,MYC,DTNB,TPM1,IQGAP1,PRUNE1,VASH2,MFHAS1,KBTBD8,SPRY4,S1PR3,CEACAM1,CHRNA3,SH3GL2,GPLD1,STRN,EIF2AK4,SIX3,SLC39A5,CREB3L1,SENP2,STX3,KMT2D,FPR2,SPRED3,TOPORS,TUNAR,MT1G,NLGN4X,TLR3,NOS1,PYY,KLK5,CHRM1,NTM,PLA2G2A
	4.5E-02	194	1645	1.24	GO:0009967 positive regulation of signal transduction	http://amigo.geneontology.org/amigo/term/GO:0009967	ATP2C1,TRIM38,ZDHHC13,LITAF,FLNA,CD44,TRAF5,TRIP6,TGFB2,TREM2,XIAP,MET,TRIM14,TNKS2,CAPRIN2,IL23A,SASH1,TEK,INHBA,DOK4,GPR18,BMP4,CRACR2A,PTPN22,GH2,PARP9,FGF2,PIK3R5,XCL1,CSNK1G3,KIT,FGFR4,TGFA,NETO1,ADRA1D,GPR4,ROR1,PDE6G,ALKAL1,ALS2,HIF1A,HOMER1,GHRL,JUP,AKAP5,GRIN2A,LTF,CYBA,IFI35,FERMT2,FGFR1,SIRT1,EP300,GSKIP,RSPO4,SALL1,SFRP1,FGF21,SPIN1,BMPR1A,SLC9A3R1,TMEM33,VWF,CYP27B1,GLI1,IL12B,PRLR,ACVR2B,NMI,EDN3,TNFSF14,KLK14,WBP2,LGR6,OASL,TLR4,MYC,NLRC5,BRD4,ASXL2,NACC2,ANKRD1,ADRA2A,IL18,THRB,RBPMS,BRAF,HTR6,F11R,ZC3H12A,TLR3,CITED2,NKX3-1,KLK5,IGFBP6,MAP4K2,SEMA4C,SEMA3E,HPSE,NLRP6,SLC38A9,PTPN11,NRXN1,SOX2,RXRA,PLA2G2A,AKR1C3,RASGEF1A,LGR4,FNIP1,TNFSF12,ADRA2B,IL20RA,GUCA1A,MAPK9,PIK3CB,SPHK2,PRKCZ,EPHA8,DLX5,DVL1,SLC15A3,TRPV4,CTH,IRF3,BECN1,AKAP12,SERINC3,KRAS,MBD2,C5AR2,FGFBP1,LHCGR,SLC15A4,GAS8,IGFBP4,MFHAS1,ADAM8,BANK1,ZBTB7B,FZD5,NPY5R,TERT,SYK,PLEKHF1,CLEC4D,AR,LPAR3,PTPN2,BOK,ALOX15B,TBK1,NPSR1,MAP3K5,PLCG2,NFAM1,CALCR,KIAA0319,FPR2,PIK3CD,CASP10,PRKCH,ROCK1,UBE2K,ICAM1,PCDH11Y,MMP9,CBL,PTPN6,GOLPH3,RAB29,PKD2,APOE,LARS1,USP8,IQGAP1,MINK1,TNFRSF11A,TCF7L2,HHEX,DEDD2,KMT2D,NUPR1,HCLS1,HEXIM1,ABCA7,SCTR,NGF,OCIAD2,ADGRV1,RIMS2,P2RX2,PRKCI,BDNF
	4.7E-02	58	645	1.52	GO:0002250 adaptive immune response	http://amigo.geneontology.org/amigo/term/GO:0002250	IL4R,IL23A,CR2,CRACR2A,SUSD4,TNFRSF21,SYK,IFNE,CD55,CR1L,MAD2L2,XCL1,C1QA,PVR,CEACAM1,SIRT1,IL12B,IL18,FZD5,PRDM1,PRKCZ,RORA,THOC1,RIF1,ICAM1,CD209,TREM2,RNF125,RELB,FCER2,UNC93B1,PTPN6,CD48,CLU,EIF2AK4,SWAP70,IRF4,SLC15A4,SIGLEC10,NFKBIZ,SERPING1,MCOLN2,ICOSLG,ZBTB7B,ZC3H12A,CLEC4D,STAT6,ALCAM,SOCS5,PIK3CD,CLCF1,CD19,SEMA4A,TNFRSF11A,TLR4,TLR8,EBI3,SIPA1
	4.7E-02	63	552	1.49	GO:0032103 positive regulation of response to external stimulus	http://amigo.geneontology.org/amigo/term/GO:0032103	TREM2,PARP9,XCL1,IFI16,KLK5,S100A14,SERPINE1,IL23A,IL12B,PLAU,TLR4,IL18,MAPK13,TLR3,CYBA,IFI35,FGFR1,NFKBIA,TLR8,EDN3,EMILIN2,OASL,FGF2,SLC15A4,NLRC5,KLK3,PLA2G7,FPR2,NLRP6,HEXIM1,C2CD4B,COCH,TRPV4,ARTN,NMI,TNFSF14,IRF3,SWAP70,TNFRSF11A,VAV1,ADAM8,GHRL,BRAF,NPY5R,SYK,NDEL1,CEBPB,NUPR1,GPR4,TBK1,FLNA,PLCG2,CEBPA,PVR,UBE2K,MET,SASH1,NFKBIZ,STX3,GRN,EP300,HCK,PLA2G2A
	4.7E-02	133	1078	1.30	GO:1902533 positive regulation of intracellular signal transduction	http://amigo.geneontology.org/amigo/term/GO:1902533	ATP2C1,TRIM38,ZDHHC13,LITAF,FLNA,CD44,TRAF5,TRIP6,TREM2,MET,TRIM14,SASH1,TEK,DOK4,GPR18,CRACR2A,PTPN22,FGF2,PIK3R5,XCL1,KIT,FGFR4,ADRA1D,GPR4,ROR1,ALKAL1,ALS2,AKAP5,LTF,FERMT2,FGFR1,TGFB2,EP300,XIAP,FGF21,SLC9A3R1,VWF,NMI,EDN3,BMP4,TNFSF14,OASL,TLR4,MYC,BRD4,NACC2,ANKRD1,ADRA2A,IL18,BRAF,HTR6,F11R,TGFA,ZC3H12A,TLR3,NKX3-1,IGFBP6,MAP4K2,SEMA4C,SEMA3E,HPSE,SLC38A9,NRXN1,SOX2,PLA2G2A,AKR1C3,RASGEF1A,FNIP1,ADRA2B,IL20RA,GUCA1A,PIK3CB,SPHK2,PRKCZ,IFI35,EPHA8,SIRT1,SLC15A3,TRPV4,CTH,IRF3,BECN1,AKAP12,SERINC3,KRAS,C5AR2,LHCGR,SLC15A4,IGFBP4,ADAM8,BANK1,FZD5,NPY5R,SYK,PLEKHF1,CLEC4D,AR,LPAR3,PTPN2,BOK,PTPN11,PDE6G,NPSR1,MAP3K5,PLCG2,TBK1,CALCR,FPR2,PIK3CD,CASP10,ROCK1,ICAM1,CBL,PTPN6,GOLPH3,APOE,LARS1,IQGAP1,MINK1,TNFRSF11A,MFHAS1,TCF7L2,GHRL,NUPR1,HCLS1,HEXIM1,ABCA7,SCTR,NGF,ADGRV1,P2RX2,IL23A,IL12B
	4.7E-02	146	1312	1.28	GO:0010628 positive regulation of gene expression	http://amigo.geneontology.org/amigo/term/GO:0010628	FGF22,TLR8,FGF21,FGF6,IFIH1,IL37,PTPN22,FGF2,LARP1B,BOLL,LARP1,ZBTB7B,LARP4,IFI16,KLK5,UPF3A,ANGEL2,MEIOC,RBMXL1,SAMD4A,CYBA,SPHK2,EP300,HIF1A,FUBP3,CALCA,IL23A,IL12B,ARHGEF2,MAD2L2,CLU,INHBA,METTL8,CTCFL,BMP4,IRF3,ZFP36,ADM2,F12,RAMP2,TLR4,MYC,IRF4,KLK3,XCL1,ADRA2A,IL18,KIT,FZD5,PF4,ZC3H12A,TLR3,CITED2,NKX3-1,AR,HPSE,LACC1,NRXN1,TBK1,YTHDF3,CD55,MBP,ORM1,ITGA3,KPNA6,PRDM1,CNN2,KDM4A,PRKCZ,PANX2,IL4R,RIF1,TRAF5,IRAK3,TREM2,SIRT1,PABPC1L,DLX5,BMPR1A,POU2AF1,TRPV4,PKD2,AGO2,OVOL2,AKAP12,PIAS3,WBP2,KRAS,NIBAN1,SLC39A5,ITGAX,KDM6A,NOCT,ADAM8,RBM46,MCOLN2,BRAF,ADAR,OSR2,SYK,STAT6,PTAFR,USP50,CEBPB,RARG,CLCF1,PAWR,MAF,PTPN11,POU3F1,HMX2,IL1RAP,MAFG,PLCG2,NFAM1,CEBPA,NR2E3,CALCR,TFR2,MAPK9,PIK3CB,ROCK1,RORA,TESC,SERPINE1,ADTRP,TENT4B,NGF,METTL14,OTUD6B,MAPK13,ATP13A2,FGFR4,TCF23,CLDN3,PIK3CD,ALOX15B,PKP3,NCOR2,SLC38A2,SLC22A2,EIF2AK4,ACTG2,EBI3,KLKB1,TERT
	4.7E-02	53	342	1.55	GO:0007204 positive regulation of cytosolic calcium ion concentration	http://amigo.geneontology.org/amigo/term/GO:0007204	CALCR,TBXA2R,SLC8B1,TRPV4,SLC8A2,PKD2,GPR18,PTGER2,C5AR2,TRPM2,CACNA1B,CD52,FPR2,ADRA1D,GPR4,NPSR1,FPR3,AKAP5,FLNA,RYR2,CALCA,GLP1R,FGF2,XCL1,CXCL11,CD19,GRIN2A,CD55,PLCG2,CD38,CYBA,MCOLN3,ATG5,GNA15,TRPC5,TMEM38A,PTPN6,SWAP70,TRPC6,LHCGR,METTL21C,MCOLN2,JPH3,GHRL,SPINK1,CACNB2,DIAPH1,CACNA2D1,P2RX2,NOS1,JPH1,LPAR3,S1PR3
	4.8E-02	37	305	1.71	GO:0002703 regulation of leukocyte mediated immunity	http://amigo.geneontology.org/amigo/term/GO:0002703	CR2,SUSD4,SYK,FES,CD55,CR1L,CD177,PVR,CEACAM1,IL12B,MAD2L2,XCL1,IL18,FZD5,SPHK2,PRKCZ,IL4R,THOC1,RIF1,TREM2,FCER2,IL23A,PTPN6,CXCL6,TLR4,SLC15A4,VAV1,KIT,TLR3,STAT6,PTAFR,CLCF1,PLCG2,ADGRE2,SERPINB9,STXBP2,ICAM1
	4.9E-02	91	642	1.38	GO:0007169 transmembrane receptor protein tyrosine kinase signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0007169	TNK2,FGF22,EPHA8,FGFR1,TYRO3,HCK,FGF21,MET,CBL,FGF6,FRK,GRB14,TEK,DOK4,STAT5A,RHBDF2,NGF,GH2,FGF2,IGFBP4,CBLC,KIT,FGFR4,TGFA,LMTK2,SYK,STAT6,IGFBP6,FAM83B,SHCBP1,YES1,BDNF,SHISA2,FES,PDE6G,IRS2,SPRY4,LEPROT,NTF4,HIF1A,GHRL,SIRT1,GPLD1,PRLR,EFEMP1,SOCS2,VIL1,ADRA2A,CREB3L1,BRAF,SOCS5,FOXC2,PTPN11,NRXN1,SOCS4,ENPP1,PRKCZ,ANGPT4,SLC9A3R1,SH2B3,GFRA4,FGFBP1,IQGAP1,ZBTB7B,NDEL1,NKX3-1,COL4A3,AR,RGS14,NRG4,PTPN2,CLEC14A,ROR1,SIPA1L1,LRIG2,TRIM71,PIK3CB,IL12B,PIK3CD,MMP9,VWA2,PIP4K2C,PTPRT,CEACAM1,CHRNA3,HHEX,GALNT3,ABI1,VAV1,CNKSR1,PTPRG
							
BP:GO - Positively correlated human-specific genes (n = 2,050)	7.0E-05	34	172	2.89	GO:0007156 homophilic cell adhesion via plasma membrane adhesion molecules	http://amigo.geneontology.org/amigo/term/GO:0007156	HMCN1,PTPRM,CDH10,PCDHGA2,CDH20,CDH6,CDH15,CDH11,CDH18,KIRREL3,PCDH15,PCDH19,AMIGO1,PCDHGA1,PCDHGC3,PCDHGC5,PCDHGC4,PCDHGA12,PCDHGA5,PCDHGA7,PCDHGA6,PCDHGA8,PCDHGA11,PCDHGB2,PCDHGB4,PCDHGB1,PCDHGA3,PCDHGA9,PCDHGB3,PCDHGA4,PCDHGB5,CADM1,TENM3,TRO
	7.0E-05	238	2618	1.39	GO:0007399 nervous system development	http://amigo.geneontology.org/amigo/term/GO:0007399	WNT7A,MAOB,PLP1,CALM3,ARX,PAFAH1B1,ISL1,ADGRA2,TNFRSF1B,CDON,NAV3,WNT8B,FRYL,EFNB1,SOX10,METRN,APLP1,PMP22,SOX6,MDGA1,HES1,ADGRL2,ABITRAM,CXCR4,NEUROD4,EFNB2,ZC4H2,ATXN10,PRDM12,LRRC4B,EPHB2,BTBD2,TBX3,SEMA4F,TUBB2B,HECW2,NTRK3,RNF165,NTN5,DAAM2,GSN,KIRREL3,TAOK2,ADGRL3,GFRA1,ASTN1,LGI2,SEMA3D,TIAM1,MPZ,NEUROD1,RYK,GFRA2,EMX2,ATOH7,AMIGO1,NEUROG1,UNC5C,EPHB3,RP1L1,WNT7B,LRRK2,LDB1,OLIG2,TENM3,ARHGEF25,LEF1,SYT17,BMP5,SYT4,IER3IP1,YAP1,PTPRM,FBXW8,NTRK1,TMEM98,TFAP2B,FYN,MKS1,CLDN11,VIM,GALC,DGKG,XRCC1,PICALM,XAB2,TULP3,MEF2C,PCDHGA2,HDAC6,NRP1,CBY1,TTLL1,POFUT1,JAG1,DRP2,MAPK3,CLUAP1,FZD3,EYA1,GSDME,EZH2,GLI3,VTN,IFT20,PPARD,SIM1,NR2E1,TLX2,HTRA2,LOXL3,WLS,MTR,MYCL,OLFM3,SATB2,ONECUT2,HOXB1,EGR2,BARHL1,SIX1,DLL4,KCNC1,EPO,ZSWIM6,CPLANE2,P2RX4,APPL2,NAB1,FGF5,BMPR1B,BBS4,CDH11,SOD1,RXRG,SNAPIN,GDF7,EIF2B5,CRB2,ZEB1,PCDH15,VEGFC,EDNRA,BAG3,POU4F1,FEZF2,ASAP1,NRGN,GDF6,FZD1,DPYSL5,CUL4B,BTG2,PLPP3,VCAM1,NCSTN,HDAC11,HHIP,CTHRC1,PCDH19,VEGFD,DACT1,AK8,JAM3,DPCD,NAB2,CYB5D2,BMI1,MECP2,PCSK9,PFKFB3,S1PR1,ARNT2,TTC36,KAT5,SPHK1,TMEM107,FZD2,RGMA,ANXA2,SOX1,CADM1,NOG,DENND5A,NR2F2,INKA1,ZFP36L1,TAL2,IFT140,HES4,INSC,FZD9,SRC,TCTN1,PCDHGA1,VIT,PCDHGC3,PCDHGC5,PCDHGC4,PCDHGA12,PCDHGA5,PCDHGA7,PCDHGA6,PCDHGA8,PCDHGA11,PCDHGB2,PCDHGB4,PCDHGB1,PCDHGA3,PCDHGA9,PCDHGB3,PCDHGA4,PCDHGB5,FOXP2,CUL7,DCANP1,TIFAB,ALDH3A2,FBXO7,C12orf57,CEP85L,ALDH5A1,RAB3GAP1,COQ8B,BIN1,SVBP,NCS1,SOX3,TFAP2A,NKD1,VANGL2,DDIT4,CEP290,SDCBP2,EVL,GSTM3,PTK2,NHLH1
	3.8E-04	44	293	2.30	GO:0098742 cell-cell adhesion via plasma-membrane adhesion molecules	http://amigo.geneontology.org/amigo/term/GO:0098742	CDH10,CDH20,CDH6,CDH15,LRRC4B,CDH11,HMCN1,CDH18,CRB2,ADGRL3,TENM3,MDGA1,VCAM1,PTPRM,PCDHGA2,ACVR1,CPLANE2,KIRREL3,PCDH15,PCDH19,AMIGO1,PCDHGA1,PCDHGC3,PCDHGC5,PCDHGC4,PCDHGA12,PCDHGA5,PCDHGA7,PCDHGA6,PCDHGA8,PCDHGA11,PCDHGB2,PCDHGB4,PCDHGB1,PCDHGA3,PCDHGA9,PCDHGB3,PCDHGA4,PCDHGB5,FGFRL1,MPZ,CLDN11,CADM1,TRO
	4.2E-04	63	491	1.95	GO:0007389 pattern specification process	http://amigo.geneontology.org/amigo/term/GO:0007389	HES1,ACVR1,TBX3,BMPR1B,BMP1,NOG,HES4,CYP26B1,MKS1,CDON,TULP3,RFX3,EFNB1,NRP1,MFNG,POFUT1,CLUAP1,EYA1,LFNG,GLI3,BMP5,WLS,SATB2,HOXB1,EGR2,SIX1,CPLANE2,LEF1,PCSK6,DAAM2,CRB2,ZEB1,FEZF2,DISP1,WNT7A,BTG2,PSKH1,NEUROD1,HHIP,DPCD,SMAD3,BMI1,EMX2,MLLT3,TMEM107,PLD6,SOX1,NR2F2,IFT140,LDB1,TCTN1,WNT7B,NEUROG1,DCANP1,TIFAB,ISL1,DLL4,WNT8B,MEF2C,BBS4,NKD1,VANGL2,BBS5
	1.0E-03	51	377	2.05	GO:0003002 regionalization	http://amigo.geneontology.org/amigo/term/GO:0003002	HES1,ACVR1,BMPR1B,BMP1,NOG,HES4,CYP26B1,MKS1,CDON,TULP3,NRP1,POFUT1,CLUAP1,LFNG,GLI3,WLS,HOXB1,EGR2,SIX1,CPLANE2,TBX3,LEF1,PCSK6,CRB2,FEZF2,DISP1,WNT7A,BTG2,NEUROD1,HHIP,DPCD,SMAD3,BMI1,EMX2,MLLT3,TMEM107,PLD6,SOX1,NR2F2,IFT140,LDB1,TCTN1,WNT7B,NEUROG1,DCANP1,TIFAB,ISL1,DLL4,WNT8B,MEF2C,NKD1
